date,China,USA,Italy,UK,Iran,Spain
2020-02-26,2717.0,,12.0,,19.0,
2020-02-27,2746.0,,17.0,,26.0,
2020-02-28,2790.0,,21.0,,34.0,
2020-02-29,2837.0,1.0,29.0,,43.0,
2020-03-01,2872.0,1.0,34.0,,54.0,
2020-03-02,2914.0,6.0,52.0,,66.0,
2020-03-03,2947.0,7.0,79.0,,77.0,1.0
2020-03-04,2983.0,11.0,107.0,,92.0,2.0
2020-03-05,3015.0,12.0,148.0,1.0,107.0,3.0
2020-03-06,3044.0,14.0,197.0,2.0,124.0,5.0
2020-03-07,3072.0,17.0,233.0,2.0,145.0,10.0
2020-03-08,3100.0,21.0,366.0,3.0,194.0,17.0
2020-03-09,3123.0,22.0,463.0,4.0,237.0,28.0
2020-03-10,3139.0,28.0,631.0,6.0,291.0,35.0
2020-03-11,3161.0,32.0,827.0,8.0,354.0,54.0
2020-03-12,3172.0,40.0,1000.0,8.0,429.0,55.0
2020-03-13,3180.0,48.0,1266.0,8.0,514.0,133.0
2020-03-14,3193.0,54.0,1441.0,21.0,611.0,195.0
2020-03-15,3203.0,60.0,1809.0,21.0,724.0,289.0
2020-03-16,3217.0,84.0,2158.0,56.0,853.0,342.0
2020-03-17,3230.0,107.0,2503.0,56.0,988.0,533.0
2020-03-18,3241.0,143.0,2978.0,72.0,1135.0,623.0
2020-03-19,3249.0,209.0,3405.0,138.0,1284.0,830.0
2020-03-20,3253.0,260.0,4032.0,178.0,1433.0,1043.0
2020-03-21,3259.0,320.0,4825.0,234.0,1556.0,1375.0
2020-03-22,3274.0,427.0,5476.0,282.0,1685.0,1772.0
2020-03-23,3274.0,552.0,6077.0,336.0,1812.0,2311.0
2020-03-24,3281.0,706.0,6820.0,423.0,1934.0,2808.0
2020-03-25,3285.0,943.0,7503.0,466.0,2077.0,3647.0
2020-03-26,3291.0,1210.0,8215.0,580.0,2234.0,4365.0
2020-03-27,3296.0,1582.0,9134.0,761.0,2378.0,5138.0
2020-03-28,3299.0,2182.0,10023.0,1021.0,2517.0,5982.0
2020-03-29,3304.0,2566.0,10779.0,1231.0,2640.0,6803.0
2020-03-30,3308.0,3112.0,11591.0,1411.0,2757.0,7716.0
2020-03-31,3309.0,4039.0,12428.0,1793.0,2898.0,8464.0
2020-04-01,3316.0,4995.0,13155.0,2357.0,3036.0,9387.0
2020-04-02,3322.0,6294.0,13915.0,2926.0,3160.0,10348.0
2020-04-03,3326.0,7418.0,14681.0,3611.0,3294.0,11198.0
2020-04-04,3330.0,8387.0,15362.0,4320.0,3452.0,11947.0
2020-04-05,3333.0,9489.0,15887.0,4943.0,3603.0,12641.0
2020-04-06,3335.0,10783.0,16523.0,5385.0,3739.0,13341.0
2020-04-07,3335.0,12798.0,17127.0,6171.0,3872.0,14045.0
2020-04-08,3337.0,14704.0,17669.0,7111.0,3993.0,14792.0
2020-04-09,3339.0,16553.0,18279.0,7993.0,4110.0,15447.0
2020-04-10,3340.0,18595.0,18849.0,8974.0,4232.0,16081.0
2020-04-11,3343.0,20471.0,19468.0,9892.0,4357.0,16606.0
2020-04-12,3343.0,22032.0,19899.0,10629.0,4474.0,17209.0
2020-04-13,3345.0,23546.0,20465.0,11347.0,4585.0,17756.0
2020-04-14,3345.0,25854.0,21067.0,12129.0,4683.0,18056.0
2020-04-15,3346.0,28341.0,21645.0,12894.0,4777.0,18708.0
2020-04-16,3346.0,32933.0,22170.0,13759.0,4869.0,19315.0
2020-04-17,4636.0,36790.0,22745.0,14607.0,4958.0,20002.0
2020-04-18,4636.0,38671.0,23227.0,15498.0,5031.0,20043.0
2020-04-19,4636.0,40664.0,23660.0,16095.0,5118.0,20453.0
2020-04-20,4636.0,42097.0,24114.0,16550.0,5209.0,20852.0
2020-04-21,4636.0,44447.0,24648.0,17378.0,5297.0,21282.0
2020-04-22,4636.0,46628.0,25085.0,18151.0,5391.0,21717.0
